camara,comision,nombre,bloque,cargo
senado,De Ciencia y Tecnología,"SORIA, Martín",JUSTICIALISTA,Vocal
senado,De Ciencia y Tecnología,"SALINO, Fernando Aldo",JUSTICIA SOCIAL FEDERAL,Vocal
senado,De Coparticipación Federal de Impuestos,"SCHNEIDER, Silvana Lorena",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Coparticipación Federal de Impuestos,"ALVAREZ RIVERO, Carmen",LA LIBERTAD AVANZA,Vocal
senado,De Coparticipación Federal de Impuestos,"PAOLTRONI, Francisco Manuel",LA LIBERTAD AVANZA,Vocal
senado,De Coparticipación Federal de Impuestos,"ABDALA, Bartolomé Esteban",LA LIBERTAD AVANZA,Vocal
senado,De Coparticipación Federal de Impuestos,"ARRASCAETA, Ivanna Marcela",LA LIBERTAD AVANZA,Vocal
senado,De Coparticipación Federal de Impuestos,"MONTEVERDE, Agustín Aníbal",LA LIBERTAD AVANZA,Vocal
senado,De Coparticipación Federal de Impuestos,"ABAD, Maximiliano",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Coparticipación Federal de Impuestos,"ROYÓN, Flavia Gabriela",PRIMERO LOS SALTEÑOS,Vocal
senado,De Coparticipación Federal de Impuestos,"CRISTINA, Andrea Marcela",FRENTE PRO,Vocal
senado,De Coparticipación Federal de Impuestos,"VIGO, Alejandra María",PROVINCIAS UNIDAS,Vocal
senado,De Coparticipación Federal de Impuestos,"BENSUSÁN, Daniel Pablo",JUSTICIALISTA,Vocal
senado,De Coparticipación Federal de Impuestos,"CORPACCI, Lucía Benigna",JUSTICIALISTA,Vocal
senado,De Coparticipación Federal de Impuestos,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Coparticipación Federal de Impuestos,"KIRCHNER, Alicia Margarita Antonia",JUSTICIALISTA,Vocal
senado,De Coparticipación Federal de Impuestos,"MAYANS, José Miguel Ángel",JUSTICIALISTA,Vocal
senado,De Coparticipación Federal de Impuestos,"ZAMORA, Gerardo",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,De Coparticipación Federal de Impuestos,"VISCHI, Eduardo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Coparticipación Federal de Impuestos,"VALENZUELA, Gabriela",DESCONOCIDO,Vocal
senado,De Defensa Nacional,"JUEZ, Luis Alfredo",LA LIBERTAD AVANZA,Presidente
senado,De Defensa Nacional,"MONTE DE OCA, María Belén",LA LIBERTAD AVANZA,Vocal
senado,De Defensa Nacional,"PAGOTTO, Juan Carlos",LA LIBERTAD AVANZA,Vocal
senado,De Defensa Nacional,"MONTEVERDE, Agustín Aníbal",LA LIBERTAD AVANZA,Vocal
senado,De Defensa Nacional,"OLIVERA LUCERO, Bruno Antonio",LA LIBERTAD AVANZA,Vocal
senado,De Defensa Nacional,"LOSADA, Carolina",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Defensa Nacional,"GALARETTO, Eduardo Horacio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Defensa Nacional,"VISCHI, Eduardo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Defensa Nacional,"GADANO, Natalia Elena",MOVERE POR SANTA CRUZ,Vocal
senado,De Defensa Nacional,"ABDALA, Bartolomé Esteban",LA LIBERTAD AVANZA,Vocal
senado,De Defensa Nacional,"NEDER, José Emilio",JUSTICIALISTA,Vocal
senado,De Defensa Nacional,"CORPACCI, Lucía Benigna",JUSTICIALISTA,Vocal
senado,De Defensa Nacional,"MAYANS, José Miguel Ángel",JUSTICIALISTA,Vocal
senado,De Defensa Nacional,"CAPITANICH, Jorge Milton",JUSTICIALISTA,Vocal
senado,De Defensa Nacional,"LINARES, Carlos Alberto",JUSTICIALISTA,Vicepresidente
senado,De Defensa Nacional,"ZAMORA, Gerardo",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,De Defensa Nacional,"GOERLING LARA, Enrique Martín",FRENTE PRO,Vocal
senado,De Deporte,"OLIVERA LUCERO, Bruno Antonio",LA LIBERTAD AVANZA,Vocal
senado,De Deporte,"ABDALA, Bartolomé Esteban",LA LIBERTAD AVANZA,Vocal
senado,De Deporte,"ARRASCAETA, Ivanna Marcela",LA LIBERTAD AVANZA,Vocal
senado,De Deporte,"GODOY, Juan Cruz",LA LIBERTAD AVANZA,Vocal
senado,De Deporte,"PAOLTRONI, Francisco Manuel",LA LIBERTAD AVANZA,Vocal
senado,De Deporte,"ABAD, Maximiliano",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Deporte,"GALARETTO, Eduardo Horacio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Deporte,"JURI, Mariana",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Deporte,"ÁVILA, Beatriz Luisa",INDEPENDENCIA,Vocal
senado,De Deporte,"ARCE, Carlos Omar",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Vocal
senado,De Deporte,"FERNÁNDEZ SAGASTI, Anabel",JUSTICIALISTA,Vocal
